series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_dvd,my_storage,my_status,my_comments,my_times_watched,my_rewatch_value,my_tags,my_rewatching,my_rewatching_ep,update_on_import
35806,"Haikyuu!!: vs. ""Akaten""",OVA,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
9289,Hanasaku Iroha,TV,26,0,1,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
37259,Hanebado!,TV,13,0,3,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
36784,Hataraku Onii-san!,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
37141,Hataraku Saibou (TV),TV,13,0,13,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
39586,Hataraku Saibou 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38628,Hero Mask,ONA,15,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
5060,Hetalia Axis Powers,ONA,52,0,1,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
27989,Hibike! Euphonium,TV,13,0,13,0000-00-00,0000-00-00,,10,,,Completed,,0,,,0,0,0
31988,Hibike! Euphonium 2,TV,13,0,13,0000-00-00,0000-00-00,,10,,,Completed,,0,,,0,0,0
34204,Hibike! Euphonium 2 Specials,Special,7,0,7,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
31989,Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
35082,Hibike! Euphonium Movie 2: Todoketai Melody,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
31665,Hibike! Euphonium: Kakedasu Monaka,Special,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
31096,Hibike! Euphonium: Suisougaku-bu no Nichijou,Special,7,0,7,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
5630,Higashi no Eden,TV,11,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
30415,High☆Speed!: Free! Starting Days,Movie,1,0,1,0000-00-00,0000-00-00,,8,,,Completed,,0,,,0,0,0
33204,Hirune Hime: Shiranai Watashi no Monogatari,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
33241,Honobono Log,TV,10,0,10,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
9760,Hoshi wo Ou Kodomo,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
37972,Hoshiai no Sora,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
39584,Human Lost: Ningen Shikkaku,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
12189,Hyouka,TV,22,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
11013,Inu x Boku SS,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
37497,Irozuku Sekai no Ashita kara,TV,13,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
39534,Jibaku Shounen Hanako-kun,TV,12,0,3,0000-00-00,0000-00-00,,0,,,Watching,,0,,,0,0,0
37992,Jingai-san no Yome,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
10357,Jinrui wa Suitai Shimashita,TV,12,0,12,0000-00-00,0000-00-00,,9,,,Completed,,0,,,0,0,0
15617,Jinrui wa Suitai Shimashita Specials,Special,6,0,6,0000-00-00,0000-00-00,,9,,,Completed,,0,,,0,0,0
16101,"Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo",ONA,1,0,1,0000-00-00,0000-00-00,,8,,,Completed,,0,,,0,0,0
40180,Jurassic!,ONA,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
5680,K-On!,TV,13,0,13,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
9617,K-On! Movie,Movie,1,0,1,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
7791,K-On!!,TV,26,0,26,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
9734,K-On!!: Keikaku!,Special,1,0,1,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
6862,K-On!: Live House!,Special,1,0,1,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
34933,Kakegurui,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
34006,Kakuchou Shoujo-kei Trinary,ONA,34,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
32686,Keijo!!!!!!!!,TV,12,0,12,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
24439,Kekkai Sensen,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
34825,Keppeki Danshi! Aoyama-kun,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
18679,Kill la Kill,TV,24,0,24,0000-00-00,0000-00-00,,9,,,Completed,,0,,,0,0,0
21659,Kill la Kill Specials,Special,2,0,2,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
35159,Kimi no Hikari: Asagao to Kase-san.,OVA,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
32281,Kimi no Na wa.,Movie,1,0,1,0000-00-00,0000-00-00,,8,,,Completed,,0,,,0,0,0
31798,Kiznaiver,TV,12,0,12,0000-00-00,0000-00-00,,4,,,Completed,,0,,,0,0,0
33206,Kobayashi-san Chi no Maid Dragon,TV,13,0,1,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
28851,Koe no Katachi,Movie,1,0,1,0000-00-00,0000-00-00,,9,,,Completed,,0,,,0,0,0
35566,Koe no Katachi Specials,Special,2,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
11887,Kokoro Connect,TV,13,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38080,Kono Oto Tomare!,TV,13,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,0,10,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,0,10,0000-00-00,0000-00-00,,8,,,Completed,,0,,,0,0,0
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,OVA,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
237,Koukyoushihen Eureka Seven,TV,50,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,OVA,8,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
37272,Kujira no Kora wa Sajou ni Manabu!,Special,2,0,2,0000-00-00,0000-00-00,,4,,,Completed,,0,,,0,0,0
34712,Kujira no Kora wa Sajou ni Utau,TV,12,0,12,0000-00-00,0000-00-00,,9,,,Completed,,0,,,0,0,0
8129,Kuragehime,TV,11,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
4898,Kuroshitsuji,TV,24,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
18153,Kyoukai no Kanata,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
19703,Kyousou Giga (TV),TV,10,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38558,Laidbackers,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
37023,Layton Mystery Tanteisha: Katri no Nazotoki File,TV,50,0,12,0000-00-00,0000-00-00,,6,,,Dropped,,0,,,0,0,0
39574,Levius,ONA,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
33489,Little Witch Academia (TV),TV,25,0,25,0000-00-00,0000-00-00,,9,,,Completed,,0,,,0,0,0
19489,Little Witch Academia: Mahoujikake no Parade,Movie,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
35677,Liz to Aoi Tori,Movie,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
15051,Love Live! School Idol Project,TV,13,0,13,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
19111,Love Live! School Idol Project 2nd Season,TV,13,0,13,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
20745,Love Live! School Idol Project OVA,OVA,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
32526,Love Live! Sunshine!!,TV,13,0,13,0000-00-00,0000-00-00,,2,,,Completed,,0,,,0,0,0
